year,event_rank,event_text,source_url,source_element_index
1876,1,"The National League of Professional Baseball was formed with an eight-team circuit consisting of the Boston Red Caps, Chicago White Stockings, Cincinnati Reds, Hartford Dark Blues, Louisville Grays, Philadelphia Athletics, Brooklyn Mutuals and St. Louis Browns. All owners agreed to play a seventy game schedule between April 22 and October 21.",https://www.baseball-almanac.com/yearly/yr1876n.shtml,60
1876,2,"In April, the Chicago White Stockings debuted the first shutout in baseball history with a 4-0 effort over the Louisville Grays. On May 25th, the Philadelphia Athletics matched the Grays 2-2 for the first tie in Major League history.",https://www.baseball-almanac.com/yearly/yr1876n.shtml,61
1876,3,"The White Stockings went on to win the first National League pennant after defeating the Hartford Dark Blues by six games. They finished the season 52-14 followed by Hartford, St. Louis, Boston, Louisville, New York, Philadelphia and Cincinnati.",https://www.baseball-almanac.com/yearly/yr1876n.shtml,62
1876,4,1876 Hitting Statistics League Leaders | 1877 →,https://www.baseball-almanac.com/yearly/yr1876n.shtml,64
1876,5,1876 Pitching Statistics League Leaders | 1877 →,https://www.baseball-almanac.com/yearly/yr1876n.shtml,65
1876,6,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1876n.shtml,67
1876,7,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1876n.shtml,68
1876,8,"On May 2, 1876, Ross Barnes of Chicago hit the first National League home run which was an inside the park variation. Cincinnati pitcher William ""Cherokee"" Fisher served up that historic pitch.",https://www.baseball-almanac.com/yearly/yr1876n.shtml,69
1876,9,"Did you know that on July 15, 1876, George Bradley of St. Louis pitched the first National League no-hitter against Hartford?",https://www.baseball-almanac.com/yearly/yr1876n.shtml,70
1876,10,"Are you curious about which player hit the first single, double or triple? How about the first pitcher to throw & win two complete games on the same day? Scan through the19th Century Era Famous Firsts to see these and learn even more about the first ever National League season.",https://www.baseball-almanac.com/yearly/yr1876n.shtml,71
1877,1,"The National League experienced its first scandal after accusations were reported by the Louisville Courier Journal of a fix involving their Louisville Grays. After compiling a 27-12 record, the Grays lost eight in a row with Boston winning thirteen out of fifteen for the pennant. Despite a thorough investigation and several suspensions, the crime was never actually proven to have taken place.",https://www.baseball-almanac.com/yearly/yr1877n.shtml,61
1877,2,← 1876 | 1877 Hitting Statistics League Leaders | 1878 →,https://www.baseball-almanac.com/yearly/yr1877n.shtml,63
1877,3,← 1876 | 1877 Pitching Statistics League Leaders | 1878 →,https://www.baseball-almanac.com/yearly/yr1877n.shtml,64
1877,4,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1877n.shtml,66
1877,5,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1877n.shtml,67
1877,6,"Did you know that on March 22, 1877, the National League published, via the most widely distributed newspapers, the first league wide schedule in history?",https://www.baseball-almanac.com/yearly/yr1877n.shtml,68
1877,7,"On May 17, 1877, Al Spalding's baseball was officially adopted for Major League use because it was ""more lively"" than the early ""lemon peel ball"" still being used.",https://www.baseball-almanac.com/yearly/yr1877n.shtml,69
1877,8,"On July 13, 1877, Cal McVey took the mound and started a game for Chicago. George Bradley, who started the previous day, finally received a well-earned rest as he had pitched the previous eighty-nine consecutive games.",https://www.baseball-almanac.com/yearly/yr1877n.shtml,70
1878,1,"In July, John Montgomery Ward of the Providence Grays lost against the Indianapolis Hoosiers for his first Major League start then continued to pitch every game all season long. Impressive, until 1879 when he won ""only"" forty-seven games on the mound.",https://www.baseball-almanac.com/yearly/yr1878n.shtml,61
1878,2,Cincinnati pitcher Will White and catcher James White became the first pitcher-to-catcher brother set to play together in the Major Leagues on the same team at the same time. Will went on to go 30-21 on the mound and James batted .314 at the plate.,https://www.baseball-almanac.com/yearly/yr1878n.shtml,62
1878,3,← 1877 | 1878 Hitting Statistics League Leaders | 1879 →,https://www.baseball-almanac.com/yearly/yr1878n.shtml,64
1878,4,← 1877 | 1878 Pitching Statistics League Leaders | 1879 →,https://www.baseball-almanac.com/yearly/yr1878n.shtml,65
1878,5,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1878n.shtml,67
1878,6,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1878n.shtml,68
1878,7,"On May 8, 1878, Paul Hines of Providence caught a line drive hit by Jack Burdock of Boston. With runners on second and third he sprinted forward and tagged third base, which was clear of baserunners. To make sure he got the out, he threw the ball to Charlie Sweasy at second base. The play was recorded, unrecorded, and still debated as the first ever unassisted triple play.",https://www.baseball-almanac.com/yearly/yr1878n.shtml,69
1878,8,"One day later on May 9, 1878, Sam Weaver of the Milwaukee Grays threw a no-hit game according to one scorer. The scorer from the Indianapolis Blues awarded a hit to John Clapp and a debate began which lasted nearly half a century.",https://www.baseball-almanac.com/yearly/yr1878n.shtml,70
1878,9,"On July 15, 1878, 18-year old John Ward made his Major League debut for Providence. He lost 13-to-9, but continued to pitch every inning of every game for the rest of the 1878 season.",https://www.baseball-almanac.com/yearly/yr1878n.shtml,71
1879,1,"Baseball's controversial reserve clause was introduced as National League owners debated the growing cost of players' salaries. All agreed to limit competitive pay and established fixed amounts. Under a secret agreement, five players from each team were designated as ""off-limits"" and not recruitable by other ball clubs.",https://www.baseball-almanac.com/yearly/yr1879n.shtml,60
1879,2,"Two standouts in the 1879 season were John O'Rourke of the Boston Red Caps who led all hitters with a .521 slugging average, sixty-two runs batted in and John Montgomery Ward, who led all pitchers with forty-seven wins, two-hundred thirty-nine strikeouts, a .712 winning percentage, and even one save!",https://www.baseball-almanac.com/yearly/yr1879n.shtml,61
1879,3,← 1878 | 1879 Hitting Statistics League Leaders | 1880 →,https://www.baseball-almanac.com/yearly/yr1879n.shtml,63
1879,4,← 1878 | 1879 Pitching Statistics League Leaders | 1880 →,https://www.baseball-almanac.com/yearly/yr1879n.shtml,64
1879,5,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1879n.shtml,66
1879,6,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1879n.shtml,67
1879,7,"Did you know that on March 25, 1879, the National League voted to keep the fifty cent admission (50¢) price to all baseball games?",https://www.baseball-almanac.com/yearly/yr1879n.shtml,68
1879,8,"On April 4, 1879, the Providence Grays sold fifteen cent tickets to a centerfield section called the ""bull pen."" Admission at that price could be purchased starting during the fifth inning and the section sold out daily.",https://www.baseball-almanac.com/yearly/yr1879n.shtml,69
1879,9,"Harry McCormick hit a first inning home run on July 26, 1879. He then pitched a 1-0 shutout and became the first pitcher in Major League Baseball history to ever win his own 1-0 game with a first inning home run.",https://www.baseball-almanac.com/yearly/yr1879n.shtml,70
1880,1,Charley Jones of the Boston Red Caps became the first player ever to hit two home runs in a single game.,https://www.baseball-almanac.com/yearly/yr1880n.shtml,60
1880,2,"On June 12th, John Lee Richmond of the Worcester Ruby Legs pitched the first perfect game in Major League history defeating the visiting Cleveland Blues 1-0. It was also the first no-hitter to be tossed by a left-hander.",https://www.baseball-almanac.com/yearly/yr1880n.shtml,61
1880,3,"In October, the National League outlawed Sunday baseball and also banned the sale of beer at all games. Cincinnati reused to comply and was expelled from the league by National League president William Hulbert.",https://www.baseball-almanac.com/yearly/yr1880n.shtml,62
1880,4,"""The qualities of mind and body necessary to constitute a good modern pitcher are rarely combined in a single individual."" - John Ward",https://www.baseball-almanac.com/yearly/yr1880n.shtml,63
1880,5,← 1879 | 1880 Hitting Statistics League Leaders | 1881 →,https://www.baseball-almanac.com/yearly/yr1880n.shtml,64
1880,6,← 1879 | 1880 Pitching Statistics League Leaders | 1881 →,https://www.baseball-almanac.com/yearly/yr1880n.shtml,65
1880,7,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1880n.shtml,67
