year,url
1876,https://www.baseball-almanac.com/yearly/yr1876n.shtml
1877,https://www.baseball-almanac.com/yearly/yr1877n.shtml
1878,https://www.baseball-almanac.com/yearly/yr1878n.shtml
1879,https://www.baseball-almanac.com/yearly/yr1879n.shtml
1880,https://www.baseball-almanac.com/yearly/yr1880n.shtml
1881,https://www.baseball-almanac.com/yearly/yr1881n.shtml
1882,https://www.baseball-almanac.com/yearly/yr1882n.shtml
1882,https://www.baseball-almanac.com/yearly/yr1882a.shtml
1883,https://www.baseball-almanac.com/yearly/yr1883a.shtml
1883,https://www.baseball-almanac.com/yearly/yr1883n.shtml
1884,https://www.baseball-almanac.com/yearly/yr1884n.shtml
1884,https://www.baseball-almanac.com/yearly/yr1884a.shtml
1884,https://www.baseball-almanac.com/yearly/yr1884u.shtml
1885,https://www.baseball-almanac.com/yearly/yr1885n.shtml
1885,https://www.baseball-almanac.com/yearly/yr1885a.shtml
1886,https://www.baseball-almanac.com/yearly/yr1886a.shtml
1886,https://www.baseball-almanac.com/yearly/yr1886n.shtml
1887,https://www.baseball-almanac.com/yearly/yr1887n.shtml
1887,https://www.baseball-almanac.com/yearly/yr1887a.shtml
1888,https://www.baseball-almanac.com/yearly/yr1888n.shtml
1888,https://www.baseball-almanac.com/yearly/yr1888a.shtml
1889,https://www.baseball-almanac.com/yearly/yr1889a.shtml
1889,https://www.baseball-almanac.com/yearly/yr1889n.shtml
1890,https://www.baseball-almanac.com/yearly/yr1890a.shtml
1890,https://www.baseball-almanac.com/yearly/yr1890p.shtml
1890,https://www.baseball-almanac.com/yearly/yr1890n.shtml
1891,https://www.baseball-almanac.com/yearly/yr1891a.shtml
1891,https://www.baseball-almanac.com/yearly/yr1891n.shtml
1892,https://www.baseball-almanac.com/yearly/yr1892n.shtml
1893,https://www.baseball-almanac.com/yearly/yr1893n.shtml
1894,https://www.baseball-almanac.com/yearly/yr1894n.shtml
1895,https://www.baseball-almanac.com/yearly/yr1895n.shtml
1896,https://www.baseball-almanac.com/yearly/yr1896n.shtml
1897,https://www.baseball-almanac.com/yearly/yr1897n.shtml
1898,https://www.baseball-almanac.com/yearly/yr1898n.shtml
1899,https://www.baseball-almanac.com/yearly/yr1899n.shtml
1900,https://www.baseball-almanac.com/yearly/yr1900n.shtml
1901,https://www.baseball-almanac.com/yearly/yr1901a.shtml
1901,https://www.baseball-almanac.com/yearly/yr1901n.shtml
1902,https://www.baseball-almanac.com/yearly/yr1902n.shtml
1902,https://www.baseball-almanac.com/yearly/yr1902a.shtml
1903,https://www.baseball-almanac.com/yearly/yr1903a.shtml
1903,https://www.baseball-almanac.com/yearly/yr1903n.shtml
1904,https://www.baseball-almanac.com/yearly/yr1904a.shtml
1904,https://www.baseball-almanac.com/yearly/yr1904n.shtml
1905,https://www.baseball-almanac.com/yearly/yr1905n.shtml
1905,https://www.baseball-almanac.com/yearly/yr1905a.shtml
1906,https://www.baseball-almanac.com/yearly/yr1906a.shtml
1906,https://www.baseball-almanac.com/yearly/yr1906n.shtml
1907,https://www.baseball-almanac.com/yearly/yr1907a.shtml
1907,https://www.baseball-almanac.com/yearly/yr1907n.shtml
1908,https://www.baseball-almanac.com/yearly/yr1908n.shtml
1908,https://www.baseball-almanac.com/yearly/yr1908a.shtml
